ctx_tokens,prefill_tps,gen_tokens,gen_tps
4096,444.15,128,5.30
4096,439.08,128,5.30
4096,331.87,128,5.30
4096,388.13,128,5.30
4096,493.41,128,5.30
4096,449.13,128,5.30
4096,429.27,128,5.30
4096,432.76,128,5.30
6144,3190.57,128,5.36
6144,3196.74,128,5.36
6144,3203.60,128,5.36
6144,3190.63,128,5.36
6144,3190.18,128,5.36
6144,3197.08,128,5.36
6144,3203.63,128,5.36
6144,3216.56,128,5.36
8192,3685.88,128,5.36
8192,3697.08,128,5.36
8192,3702.80,128,5.36
8192,3697.14,128,5.36
8192,3674.30,128,5.36
8192,3708.08,128,5.36
8192,3691.34,128,5.36
8192,3691.36,128,5.36
10240,4336.19,128,5.37
10240,4324.18,128,5.37
10240,4330.43,128,5.37
10240,4342.30,128,5.37
10240,4324.12,128,5.37
10240,4336.24,128,5.37
10240,4330.31,128,5.37
10240,4347.80,128,5.37
12288,4504.54,128,5.39
12288,4514.43,128,5.39
12288,4499.03,128,5.39
12288,4504.51,128,5.39
12288,4483.86,128,5.39
12288,4499.39,128,5.39
12288,4494.15,128,5.39
12288,4509.69,128,5.39
14336,4246.66,128,5.36
14336,4250.65,128,5.36
14336,4254.60,128,5.36
14336,4254.52,128,5.36
14336,4250.70,128,5.36
14336,4258.54,128,5.36
14336,4258.56,128,5.36
14336,4266.07,128,5.36
16384,4895.70,128,5.40
16384,4900.31,128,5.40
16384,4895.82,128,5.40
16384,4908.49,128,5.40
16384,4904.50,128,5.40
16384,4895.70,128,5.40
16384,4895.85,128,5.40
16384,4900.27,128,5.40
18432,5081.52,128,5.36
18432,5089.64,128,5.36
18432,5077.34,128,5.36
18432,5068.76,128,5.36
18432,5068.74,128,5.36
18432,5081.43,128,5.36
18432,5077.29,128,5.36
18432,5085.73,128,5.36
20480,5185.38,128,5.32
20480,5174.20,128,5.32
20480,5170.21,128,5.32
20480,5170.38,128,5.32
20480,5170.37,128,5.32
20480,5174.15,128,5.32
20480,5178.04,128,5.32
20480,5181.74,128,5.32
22528,5085.53,128,5.34
22528,5081.82,128,5.34
22528,5085.44,128,5.34
22528,5082.02,128,5.34
22528,5088.69,128,5.34
22528,5082.09,128,5.34
22528,5082.09,128,5.34
22528,5091.78,128,5.34
24576,5282.34,128,5.39
24576,5285.73,128,5.39
24576,5279.08,128,5.39
24576,5279.07,128,5.39
24576,5282.39,128,5.39
24576,5278.90,128,5.39
24576,5285.47,128,5.39
24576,5292.68,128,5.39
26624,5086.11,128,5.32
26624,5086.16,128,5.32
26624,5089.06,128,5.32
26624,5088.99,128,5.32
26624,5083.18,128,5.32
26624,5094.44,128,5.32
26624,5091.86,128,5.32
26624,5091.85,128,5.32
28672,5363.91,128,5.39
28672,5366.58,128,5.39
28672,5361.07,128,5.39
28672,5363.70,128,5.39
28672,5366.43,128,5.39
28672,5358.07,128,5.39
28672,5369.16,128,5.39
28672,5371.93,128,5.39
30720,5360.66,128,5.32
30720,5360.65,128,5.32
30720,5363.44,128,5.32
30720,5363.30,128,5.32
30720,5366.12,128,5.32
30720,5360.66,128,5.32
30720,5368.62,128,5.32
30720,5363.25,128,5.32
32768,5390.62,128,5.33
32768,5388.18,128,5.33
32768,5380.77,128,5.33
32768,5380.75,128,5.33
32768,5388.19,128,5.33
32768,5385.60,128,5.33
32768,5390.79,128,5.33
32768,5395.44,128,5.33
34816,5493.16,128,5.35
34816,5490.79,128,5.35
34816,5495.66,128,5.35
34816,5490.72,128,5.35
34816,5493.12,128,5.35
34816,5500.27,128,5.35
34816,5495.73,128,5.35
34816,5497.99,128,5.35
36864,5341.28,128,5.37
36864,5341.24,128,5.37
36864,5343.49,128,5.37
36864,5345.66,128,5.37
36864,5349.77,128,5.37
36864,5345.52,128,5.37
36864,5341.23,128,5.37
36864,5345.60,128,5.37
38912,5356.95,128,5.38
38912,5361.19,128,5.38
38912,5354.89,128,5.38
38912,5359.04,128,5.38
38912,5359.09,128,5.38
38912,5356.91,128,5.38
38912,5365.06,128,5.38
38912,5361.31,128,5.38
40960,5422.82,128,5.38
40960,5424.77,128,5.38
40960,5422.83,128,5.38
40960,5426.90,128,5.38
40960,5424.82,128,5.38
40960,5422.83,128,5.38
40960,5426.92,128,5.38
40960,5430.83,128,5.38
43008,5439.95,128,5.37
43008,5439.91,128,5.37
43008,5443.58,128,5.37
43008,5437.92,128,5.37
43008,5437.94,128,5.37
43008,5439.93,128,5.37
43008,5435.83,128,5.37
43008,5441.85,128,5.37
45056,5201.91,128,5.32
45056,5203.68,128,5.32
45056,5203.53,128,5.32
45056,5205.29,128,5.32
45056,5205.27,128,5.32
45056,5201.92,128,5.32
45056,5201.88,128,5.32
45056,5208.49,128,5.32
47104,5381.00,128,5.34
47104,5379.22,128,5.34
47104,5379.11,128,5.34
47104,5382.63,128,5.34
47104,5407.06,128,5.34
47104,5377.48,128,5.34
47104,5384.04,128,5.34
47104,5380.99,128,5.34
49152,4948.41,128,5.39
49152,4947.12,128,5.39
49152,4949.89,128,5.39
49152,4948.40,128,5.39
49152,4949.85,128,5.39
49152,4952.51,128,5.39
49152,4945.61,128,5.39
49152,4945.54,128,5.39
51200,5436.58,128,5.30
51200,5431.93,128,5.30
51200,5433.44,128,5.30
51200,5433.52,128,5.30
51200,5430.29,128,5.30
51200,5430.35,128,5.30
51200,5431.80,128,5.30
51200,5428.52,128,5.30
53248,5352.40,128,5.39
53248,5353.78,128,5.39
53248,5350.85,128,5.39
53248,5353.88,128,5.39
53248,5355.36,128,5.39
53248,5355.25,128,5.39
53248,5358.13,128,5.39
53248,5350.86,128,5.39
55296,5326.89,128,5.37
55296,5326.99,128,5.37
55296,5329.83,128,5.37
55296,5327.01,128,5.37
55296,5328.40,128,5.37
55296,5331.15,128,5.37
55296,5328.39,128,5.37
55296,5329.86,128,5.37
57344,5334.21,128,5.37
57344,5328.69,128,5.37
57344,5331.47,128,5.37
57344,5329.91,128,5.37
57344,5329.93,128,5.37
57344,5326.02,128,5.37
57344,5331.34,128,5.37
57344,5325.99,128,5.37
59392,5363.17,128,5.38
59392,5364.33,128,5.38
59392,5360.64,128,5.38
59392,5361.90,128,5.38
59392,5361.85,128,5.38
59392,5359.19,128,5.38
59392,5359.40,128,5.38
59392,5359.36,128,5.38
61440,5324.73,128,5.33
61440,5324.88,128,5.33
61440,5326.04,128,5.33
61440,5323.52,128,5.33
61440,5323.56,128,5.33
61440,5328.41,128,5.33
61440,5326.01,128,5.33
61440,5323.55,128,5.33
63488,1808.27,128,5.29
63488,1808.54,128,5.29
63488,1808.12,128,5.29
63488,1808.26,128,5.29
63488,1808.13,128,5.29
63488,1808.41,128,5.29
63488,1808.67,128,5.29
63488,1808.41,128,5.29
